topic,n_posts,keep_rate,ci_low,ci_high,p_value,q_value,significant_bh
131,14,0.8857142857142859,0.8181818181818182,0.9499999999999998,0.00035482532204646894,0.001348336223776582,True
132,10,0.7133333333333334,0.5333333333333333,0.8866875,1.0,1.0,False
133,3,0.8055555555555555,0.6666666666666666,1.0,0.5753500277102885,0.7110016602598688,False
134,8,0.65625,0.4664583333333333,0.8357142857142856,0.5979309720002568,0.7298398019270914,False
135,16,0.7129464285714286,0.5498660714285714,0.8519707792207792,0.8091197553433596,0.9110089097199308,False
136,9,0.4703703703703704,0.2888333333333334,0.6444444444444445,0.003272194210328335,0.010150479999385856,True
137,2,1.0,1.0,1.0,0.03849411054186395,0.0900169969594357,False
138,17,0.6836134453781513,0.5887537414965986,0.780118720565149,0.6480830809608309,0.7818145103654468,False
139,10,0.69,0.525,0.8389393939393937,0.8756464745206664,0.9752909213711227,False
140,10,0.6409523809523809,0.39838624338624334,0.8533541666666667,0.3078890673192376,0.42820692160203433,False
141,9,0.9185185185185184,0.7924338624338624,1.0,0.0004516742541633693,0.0016744996739715154,True
142,3,0.8666666666666667,0.6,1.0,0.25324047362666446,0.37737796069855883,False
143,14,0.7212585034013606,0.5680171130952382,0.8583447802197802,0.7021481310144866,0.8273373326682323,False
144,7,0.8047619047619048,0.6333333333333334,0.9333333333333332,0.268178430264127,0.38822020381092676,False
145,16,0.8645833333333334,0.7666666666666667,0.951111111111111,0.0008958084351803125,0.0030609705102635667,True
146,2,0.4,0.0,0.8000000000000002,0.0762366749785807,0.16169896495515187,False
148,2,0.675,0.6,0.75,1.0,1.0,False
149,2,0.9,0.8,1.0,0.19088402868972879,0.318839256712514,False
150,14,0.7297619047619046,0.5939242424242424,0.8667187499999998,0.6953812351749803,0.8257652167702891,False
151,6,0.6,0.35,0.875,0.2385093956805206,0.36619624387312255,False
152,10,0.7550000000000001,0.5727272727272728,0.9199999999999999,0.23672305235203753,0.36619624387312255,False
153,13,0.7564102564102563,0.6128205128205129,0.8878841991341991,0.35995670402573277,0.4841895487779768,False
